,0
0,Arkansas
1,Colorado
2,Connecticut
3,Delaware
4,Georgia
5,Idaho
6,Illinois
7,Indiana
8,Iowa
9,Kansas
10,Louisiana
11,Maine
12,Maryland
13,Massachusetts
14,Michigan
15,Minnesota
16,Mississippi
17,Missouri
18,Montana
19,Nebraska
20,Nevada
21,New Hampshire
22,New Jersey
23,New Mexico
24,North Carolina
25,North Dakota
26,Oklahoma
27,Oregon
28,Pennsylvania
29,Rhode Island
30,South Carolina
31,South Dakota
32,Tennessee
33,Utah
34,Vermont
35,Virginia
36,Washington
37,West Virginia
38,Wisconsin
39,Wyoming
